x, y, coefficient, p-value
Answer.Gender , Answer.Age , 0.302452558964 , 0.0019017404676
Answer.NuclearEnergy , Answer.Gym , 0.301905692886 , 0.00193997351063
Answer.MaritalStatus , Answer.ChildrenHave , -0.301666838575 , 0.00195688957941
Answer.Paris , Answer.Education , -0.300950526837 , 0.00200842282335
Answer.Gender , Answer.JumpOnOneFoot , 0.300287353421 , 0.00205722345543
Answer.Gym , Answer.Olympics , 0.299902654018 , 0.00208602076119
Answer.marijuana , Answer.DNA , 0.299715722739 , 0.00210014486316
Answer.CarTransmission , Answer.Gender , 0.299383157701 , 0.00212548644659
Answer.CarTransmission , Answer.Rain , 0.299190033559 , 0.00214032902851
Answer.MaritalStatus , Answer.PhoneBrand , 0.297690196215 , 0.00225882341424
Answer.DNA , Answer.Astrology , -0.297000788188 , 0.00231525021435
Answer.DNA , Answer.GlobalEconomy , 0.296894965182 , 0.00232402332024
Answer.WritingHand , Answer.Drunk , -0.296283801294 , 0.0023752802881
Answer.HouseHoldIncome , Answer.FlightSeat , -0.295332441871 , 0.00245709940308
Answer.ChildrenHave , Answer.BathOrShower , -0.294591768231 , 0.00252254836877
Answer.Paris , Answer.OnlineShopping , -0.292770177296 , 0.00269024350272
Answer.Continent , Answer.Unicorn , 0.291888334842 , 0.00277497555879
Answer.Juggle , Answer.Religious , -0.291735872188 , 0.00278986602044
Answer.TV , Answer.Olympics , -0.291602619088 , 0.00280293917987
Answer.Paris , Answer.DrinkForDinner , 0.291563848802 , 0.0028067531798
Answer.Gym , Answer.Siblings , 0.289233214266 , 0.00304478409426
Answer.GunControl , Answer.DinerWith , -0.288176871667 , 0.00315852295667
Answer.StartupOrCorporation , Answer.Religious , -0.287906270774 , 0.00318826629132
Answer.NuclearEnergy , Answer.Astrology , -0.287594224056 , 0.00322287714817
Answer.Juggle , Answer.StartupOrCorporation , 0.285744359715 , 0.00343507006377
Answer.GMO , Answer.GlobalEconomy , 0.285528071241 , 0.00346068052747
Answer.Age , Answer.BookOwned , 0.285028640602 , 0.00352047265448
Answer.BookRead , Answer.Siblings , 0.283524994386 , 0.00370612016523
Answer.Height , Answer.BathOrShower , 0.283146063957 , 0.0037542665768
Answer.JobMoneyOrFun , Answer.Rain , -0.281974227824 , 0.00390672197801
Answer.JumpOnOneFoot , Answer.Lesson , 0.281635848977 , 0.00395176368945
Answer.Cook , Answer.LeiaOrSkywalker , 0.281235830935 , 0.00400560893459
Answer.Olympics , Answer.SmartphoneOS , 0.278812281621 , 0.00434609415367
Answer.GunControl , Answer.GlobalWarming , 0.277697382177 , 0.00451123117856
Answer.HouseHoldIncome , Answer.ChildrenWant , 0.277500729769 , 0.00454093302794
Answer.Gym , Answer.JumpOnOneFoot , 0.277198411273 , 0.00458693477327
Answer.earlobe , Answer.Database , -0.276435843113 , 0.00470482168105
Answer.Car , Answer.ChildrenWant , 0.275757402967 , 0.00481196610864
Answer.CountriesBeenTo , Answer.Snow , 0.275661546168 , 0.00482727859769
Answer.marijuana , Answer.GlobalWarming , 0.275586220577 , 0.00483934181779
Answer.ChildrenHave , Answer.Age , 0.275182324071 , 0.00490448430398
Answer.GameOfThrones , Answer.JumpOnOneFoot , 0.275114055047 , 0.00491557193901
Answer.DNA , Answer.Alien , 0.274838716315 , 0.00496051696264
Answer.MaritalStatus , Answer.DNA , -0.274219725065 , 0.00506289731584
Answer.TV , Answer.Astrology , -0.273701156918 , 0.00515011176101
Answer.OnlineShopping , Answer.Skydiving , -0.272904981263 , 0.00528661912965
Answer.Alien , Answer.GlobalWarming , 0.272486911539 , 0.00535957998369
Answer.marijuana , Answer.StartupOrCorporation , 0.271113524821 , 0.00560560567804
Answer.Car , Answer.PhoneBrand , -0.270763743736 , 0.00566984673406
Answer.Gender , Answer.Gym , 0.270391027207 , 0.00573901920639
Answer.NuclearEnergy , Answer.ChildrenWant , 0.268582230368 , 0.00608547205171
Answer.DNA , Answer.Height , -0.268122503047 , 0.00617643250071
Answer.Snow , Answer.PokemonGo , 0.266582827527 , 0.00648991345546
Answer.PokemonGo , Answer.Rain , 0.266582827527 , 0.00648991345546
Answer.Stonebraker , Answer.BookOwned , -0.266211272284 , 0.0065676425065
Answer.Gym , Answer.HouseHoldIncome , -0.2655425726 , 0.00670961367967
Answer.GameOfThrones , Answer.GMO , 0.265493870358 , 0.00672005899333
Answer.ElectricOrGasCar , Answer.Alien , 0.265027573102 , 0.00682079827033
Answer.Gender , Answer.Astrology , -0.264721797422 , 0.00688758180164
Answer.EyeColor , Answer.HolidayDestination , 0.263119013951 , 0.0072471941119
Answer.Continent , Answer.Skydiving , 0.263111087664 , 0.00724901299213
Answer.SQL , Answer.Astrology , 0.262786902481 , 0.00732375181179
Answer.HolidayDestination , Answer.Brexit , -0.262284096097 , 0.00744101807839
Answer.DNA , Answer.GlobalWarming , 0.262104624092 , 0.00748327511836
Answer.Potato , Answer.Gym , 0.261620077688 , 0.0075984230834
Answer.BookOwned , Answer.Siblings , 0.261555917333 , 0.00761378690409
Answer.Gym , Answer.ExerciseWeekly , -0.260501098221 , 0.00787033569585
Answer.SunriseOrSunset , Answer.Continent , 0.260199594384 , 0.00794505420093
Answer.CarTransmission , Answer.Continent , 0.26001226626 , 0.00799179229124
Answer.Olympics , Answer.earlobe , 0.258686095744 , 0.00832966190526
Answer.ChildrenWant , Answer.BathOrShower , -0.258662431742 , 0.00833580340238
Answer.Gym , Answer.Kindle , 0.25836593928 , 0.00841309068861
Answer.CityOrSuburb , Answer.LikeCountry , -0.258191142358 , 0.00845895055584
Answer.GameOfThrones , Answer.MailService , 0.25738155983 , 0.00867423722345
Answer.Age , Answer.PhoneBrand , 0.256144158705 , 0.00901261369802
Answer.SunriseOrSunset , Answer.Newspaper , 0.255560564801 , 0.00917619218322
Answer.Olympics , Answer.HairDrying , 0.25536088258 , 0.0092327584373
Answer.StartupOrCorporation , Answer.WritingHand , -0.25525846233 , 0.00926189094317
Answer.GunControl , Answer.Pillow , 0.254727370096 , 0.00941425475513
Answer.HouseHoldIncome , Answer.PhoneBrand , -0.254642817992 , 0.00943871384428
Answer.Cook , Answer.Rain , 0.25458826368 , 0.00945452484002
Answer.GunControl , Answer.ExerciseWeekly , 0.254293435732 , 0.00954037554546
Answer.marijuana , Answer.Continent , -0.253995517661 , 0.00962782084222
Answer.InternetUsage , Answer.Coffee , 0.253915657953 , 0.00965138066374
Answer.Lesson , Answer.Age , 0.253468930357 , 0.00978410800792
Answer.CarTransmission , Answer.Car , -0.253443533437 , 0.00979170159595
Answer.CityOrSuburb , Answer.Skydiving , 0.252360305376 , 0.0101204364349
Answer.Brexit , Answer.GlobalEconomy , -0.252025146162 , 0.0102240915674
Answer.JumpOnOneFoot , Answer.PhoneBrand , 0.251731828551 , 0.0103155689358
Answer.Brexit , Answer.ExerciseWeekly , -0.25092110869 , 0.0105721517239
Answer.ElectricOrGasCar , Answer.GlobalWarming , 0.250821337607 , 0.0106041112343
Answer.Brexit , Answer.GlobalWarming , -0.250821337607 , 0.0106041112343
Answer.StartupOrCorporation , Answer.ScaryMovie , 0.250356429217 , 0.0107541532307
Answer.ChildrenWant , Answer.FlightSeat , -0.249615712528 , 0.0109970498774
Answer.MailService , Answer.Darwin , 0.249441033703 , 0.0110550255958
Answer.GameOfThrones , Answer.Age , 0.24922705399 , 0.0111264096076
Answer.GameOfThrones , Answer.NuclearEnergy , 0.248662998156 , 0.0113165157312
Answer.MailService , Answer.ExerciseWeekly , -0.248384948874 , 0.0114112687715
Answer.ChildrenHave , Answer.Height , -0.246871419977 , 0.0119393074585
Answer.ExerciseWeekly , Answer.earlobe , 0.246341514882 , 0.0121291590505
Answer.BookRead , Answer.Age , 0.24631094275 , 0.012140192232
Answer.ChildrenHave , Answer.NuclearEnergy , 0.24614864442 , 0.0121989109285
Answer.EyeColor , Answer.Snow , -0.245995977919 , 0.0122543709787
Answer.MaritalStatus , Answer.Lesson , 0.245654746419 , 0.0123791283103
Answer.HouseHoldIncome , Answer.ScaryMovie , 0.245473770993 , 0.0124457431743
Answer.marijuana , Answer.ApplePerMonth , 0.245193911569 , 0.0125493717273
Answer.CityOrSuburb , Answer.CountriesBeenTo , -0.244815937935 , 0.012690524857
Answer.Pillow , Answer.PhoneBrand , -0.24445727039 , 0.0128257461589
Answer.SQL , Answer.TV , -0.244294286831 , 0.0128876064726
Answer.ChildrenHave , Answer.MailService , 0.242831147838 , 0.0134546845639
Answer.HouseHoldIncome , Answer.Lesson , -0.24160234715 , 0.0139475968915
Answer.Juggle , Answer.Alien , 0.241585637089 , 0.0139544066468
Answer.Height , Answer.GMO , -0.240945967997 , 0.0142172701441
Answer.CityOrSuburb , Answer.Potato , -0.239851553551 , 0.0146769916144
Answer.RentOrBuyHouse , Answer.earlobe , -0.239111235204 , 0.0149952407517
Answer.Film , Answer.Continent , -0.237430950037 , 0.0157398616449
Answer.Smoke , Answer.Tennis , -0.237142101664 , 0.0158710410694
Answer.Olympics , Answer.Rain , 0.237055312909 , 0.0159106404276
Answer.JobMoneyOrFun , Answer.Snow , -0.236875865299 , 0.015992788994
Answer.GameOfThrones , Answer.earlobe , -0.236642696091 , 0.016100079087
Answer.ExerciseWeekly , Answer.Education , 0.236188148846 , 0.0163110263901
Answer.Car , Answer.FlightSeat , -0.23614914476 , 0.0163292384284
Answer.Juggle , Answer.MailService , 0.235966104087 , 0.0164149402311
Answer.DNA , Answer.GameOfThrones , 0.23595474056 , 0.0164202735766
Answer.Car , Answer.RentOrBuyHouse , 0.235906534414 , 0.0164429152732
Answer.NuclearEnergy , Answer.Religious , -0.235638891054 , 0.016569115288
Answer.Gender , Answer.HairColor , -0.235402409083 , 0.0166813183717
Answer.CountriesBeenTo , Answer.Car , 0.234927810587 , 0.0169084842626
Answer.Lesson , Answer.SmartphoneOS , 0.234743621278 , 0.0169973638812
Answer.Car , Answer.Tennis , -0.23432422749 , 0.0172012481287
Answer.BookRead , Answer.HairDrying , 0.234232768737 , 0.0172459895133
Answer.Gender , Answer.Coffee , 0.233794268863 , 0.0174619018927
Answer.Gender , Answer.Juggle , 0.233437650067 , 0.0176392144439
Answer.CountriesBeenTo , Answer.Kindle , -0.23326008422 , 0.0177280792259
Answer.DrinkForDinner , Answer.LeiaOrSkywalker , 0.231722551964 , 0.0185138485069
Answer.Car , Answer.BathOrShower , -0.231549571076 , 0.0186041028243
Answer.Drunk , Answer.GlobalWarming , 0.231221589461 , 0.0187762716317
Answer.TV , Answer.JumpOnOneFoot , 0.230826337689 , 0.0189855753447
Answer.BookRead , Answer.Pillow , 0.230761850774 , 0.0190199140641
Answer.Gender , Answer.MailService , 0.230354379527 , 0.0192381281533
Answer.Cook , Answer.SmartphoneOS , 0.230009310477 , 0.0194246059713
Answer.HairColor , Answer.Siblings , -0.229638095656 , 0.0196269480092
Answer.Religious , Answer.Brexit , 0.229630674194 , 0.0196310117246
Answer.Alien , Answer.ScaryMovie , 0.229534586364 , 0.0196836912206
Answer.MaritalStatus , Answer.StartupOrCorporation , -0.229523982839 , 0.0196895119737
Answer.Drunk , Answer.Database , 0.229232723999 , 0.0198499770456
Answer.Olympics , Answer.Database , -0.229147501395 , 0.0198971414362
Answer.ApplePerMonth , Answer.PokemonGo , -0.229031082466 , 0.0199617263957
Answer.marijuana , Answer.Rain , 0.228959935517 , 0.0200012847928
Answer.marijuana , Answer.CreditCard , 0.228866936052 , 0.02005309502
Answer.Lesson , Answer.PhoneBrand , 0.228152835375 , 0.0204547803333
Answer.Snow , Answer.MailService , 0.227808049593 , 0.0206511859235
Answer.Kindle , Answer.Olympics , 0.227765827358 , 0.0206753485725
Answer.Gym , Answer.Lesson , 0.227194811707 , 0.0210045175409
Answer.JobMoneyOrFun , Answer.Alien , -0.22698308755 , 0.0211277065191
Answer.GunControl , Answer.Darwin , 0.226888238537 , 0.0211830939734
Answer.Unicorn , Answer.Height , 0.226425581546 , 0.0214550539021
Answer.Olympics , Answer.GMO , 0.225638841983 , 0.0219243940006
Answer.StartupOrCorporation , Answer.RentOrBuyHouse , -0.225159148627 , 0.0222148579971
Answer.ExerciseWeekly , Answer.DinerWith , -0.224786366287 , 0.0224428556862
Answer.Film , Answer.Newspaper , -0.224707127349 , 0.022491576454
Answer.HairColor , Answer.FlightSeat , 0.223927816979 , 0.0229755869409
Answer.GunControl , Answer.ElectricOrGasCar , 0.223907705932 , 0.0229881944572
Answer.Height , Answer.Religious , 0.223870584831 , 0.0230114810395
Answer.SunriseOrSunset , Answer.Gym , 0.223630988457 , 0.023162269199
Answer.Newspaper , Answer.ExerciseWeekly , -0.223250349431 , 0.0234035591355
Answer.Gender , Answer.Lesson , 0.222925227245 , 0.0236113551935
Answer.BookRead , Answer.Education , 0.222645282329 , 0.0237915385094
Answer.Gender , Answer.ChildrenWant , 0.222219490643 , 0.0240678464568
Answer.MaritalStatus , Answer.Alien , -0.222187858535 , 0.0240884823273
Answer.OnlineShopping , Answer.MailService , 0.221741577977 , 0.0243812372384
Answer.GameOfThrones , Answer.Sudoku , 0.221301399904 , 0.0246729589781
Answer.SQL , Answer.LikeCountry , 0.2212180605 , 0.0247285250116
Answer.Age , Answer.SmartphoneOS , 0.220553511634 , 0.0251754412987
Answer.MaritalStatus , Answer.Kindle , 0.220544995524 , 0.0251812128741
Answer.marijuana , Answer.Alien , 0.220239743912 , 0.0253888356009
Answer.CarTransmission , Answer.Alien , 0.21987439015 , 0.025639254715
Answer.Vacation , Answer.LikeCountry , 0.219452773371 , 0.0259308500818
Answer.Alien , Answer.Rain , 0.219438466909 , 0.0259407939509
Answer.GameOfThrones , Answer.Continent , 0.218603823358 , 0.0265265710384
Answer.NuclearEnergy , Answer.SmartphoneOS , 0.218128109201 , 0.0268654494386
Answer.StartupOrCorporation , Answer.Bluegrass , 0.21773668951 , 0.0271470345711
Answer.MailService , Answer.ChildrenWant , 0.217093507182 , 0.02761518475
Answer.JobMoneyOrFun , Answer.TV , 0.217014983294 , 0.0276728066108
Answer.marijuana , Answer.Astrology , -0.216525266154 , 0.0280344770649
Answer.ElectricOrGasCar , Answer.Sudoku , 0.215945512821 , 0.0284678223378
Answer.MailService , Answer.SmartphoneOS , 0.215871951058 , 0.0285232113839
Answer.CarTransmission , Answer.StartupOrCorporation , 0.215852967421 , 0.028537520132
Answer.Gym , Answer.Cook , -0.215661105695 , 0.0286824763339
Answer.StartupOrCorporation , Answer.LeiaOrSkywalker , 0.215225386858 , 0.029013993806
Answer.Continent , Answer.Bluegrass , -0.215135217646 , 0.0290830034181
Answer.Sauna , Answer.Tennis , 0.214805401881 , 0.0293366093738
Answer.Education , Answer.BookOwned , 0.214452173555 , 0.0296102939386
Answer.HairColor , Answer.SmartphoneOS , 0.214422638748 , 0.0296332754458
Answer.EyeColor , Answer.Religious , 0.214356384906 , 0.0296848835924
Answer.Sauna , Answer.Siblings , 0.214158175438 , 0.0298397328035
Answer.Juggle , Answer.Drunk , 0.21378323306 , 0.0301345241701
Answer.Kindle , Answer.FlightSeat , 0.213667340458 , 0.0302261398232
Answer.GameOfThrones , Answer.Pillow , -0.213620621382 , 0.0302631388977
Answer.Car , Answer.Kindle , -0.213411898145 , 0.0304289053391
Answer.SmartphoneOS , Answer.earlobe , 0.213141745731 , 0.0306445985746
Answer.MaritalStatus , Answer.FlightSeat , 0.212919260854 , 0.0308232032641
Answer.StartupOrCorporation , Answer.Database , -0.212706434383 , 0.0309948775116
Answer.DNA , Answer.ScaryMovie , 0.212596920435 , 0.0310835303668
Answer.StartupOrCorporation , Answer.GlobalWarming , 0.21237777195 , 0.0312615774989
Answer.Gym , Answer.FlightSeat , 0.212364339504 , 0.0312725186652
Answer.Pillow , Answer.SmartphoneOS , -0.212315441347 , 0.0313123751509
Answer.GameOfThrones , Answer.Religious , -0.211820076421 , 0.0317185689825
Answer.ExerciseWeekly , Answer.Siblings , -0.211695285013 , 0.0318215955534
Answer.marijuana , Answer.Brexit , -0.211678760778 , 0.0318352589665
Answer.marijuana , Answer.ElectricOrGasCar , 0.211678760778 , 0.0318352589665
Answer.RentOrBuyHouse , Answer.ChildrenWant , 0.211678631551 , 0.0318353658401
Answer.Juggle , Answer.Darwin , 0.211452289831 , 0.0320230210973
Answer.JumpOnOneFoot , Answer.ExerciseWeekly , -0.211176089376 , 0.0322532775755
Answer.Gym , Answer.MailService , 0.211051879535 , 0.0323572806235
Answer.FlightSeat , Answer.GlobalWarming , 0.210670595368 , 0.0326783059431
Answer.Smoke , Answer.ChildrenHave , -0.210228661095 , 0.0330537538153
Answer.HouseHoldIncome , Answer.BathOrShower , -0.209918079751 , 0.033319780663
Answer.CountriesBeenTo , Answer.Tennis , -0.209646851718 , 0.0335535735243
Answer.JumpOnOneFoot , Answer.Age , 0.209501877979 , 0.0336791036616
Answer.DNA , Answer.ElectricOrGasCar , 0.209121919565 , 0.0340099813481
Answer.DNA , Answer.Sudoku , 0.209121919565 , 0.0340099813481
Answer.SQL , Answer.Bluegrass , -0.208932987697 , 0.0341755244423
Answer.ChildrenWant , Answer.DinerWith , 0.208285740551 , 0.0347477974581
Answer.Smoke , Answer.SmartphoneOS , -0.208143712704 , 0.0348744462013
Answer.NuclearEnergy , Answer.Darwin , 0.208022096064 , 0.0349832022701
Answer.Age , Answer.PokemonGo , 0.207937289931 , 0.0350592091016
Answer.GameOfThrones , Answer.Gym , 0.207140499927 , 0.0357801311652
Answer.Sauna , Answer.Stonebraker , -0.207072387537 , 0.0358423317595
Answer.Kindle , Answer.GlobalEconomy , -0.207036255253 , 0.0358753648095
Answer.CarTransmission , Answer.SmartphoneOS , 0.206923909321 , 0.0359782377238
Answer.ExerciseWeekly , Answer.RentOrBuyHouse , -0.206492552548 , 0.0363755272471
Answer.Darwin , Answer.ScaryMovie , 0.206484628411 , 0.0363828598694
Answer.Newspaper , Answer.Rain , 0.206099773665 , 0.0367404827898
Answer.marijuana , Answer.LeiaOrSkywalker , 0.205968715722 , 0.036862938506
Answer.StartupOrCorporation , Answer.Education , 0.205717061125 , 0.0370990353861
Answer.Paris , Answer.TV , -0.205517476392 , 0.0372871820165
Answer.Sauna , Answer.FlightSeat , 0.205292785001 , 0.0374999531627
Answer.CarTransmission , Answer.HairDrying , 0.204686593523 , 0.0380790676063
Answer.Religious , Answer.ApplePerMonth , -0.203951546584 , 0.0387913127474
Answer.Lesson , Answer.ApplePerMonth , -0.203800960797 , 0.038938594856
Answer.OnlineShopping , Answer.TV , 0.203653346424 , 0.0390834245964
Answer.Cook , Answer.HairColor , 0.203606120207 , 0.0391298549724
Answer.Bluegrass , Answer.Rain , 0.203604710812 , 0.0391312413253
Answer.DNA , Answer.ChildrenHave , 0.203601127836 , 0.0391347659091
Answer.SQL , Answer.JumpOnOneFoot , -0.203582561351 , 0.0391530340674
Answer.NuclearEnergy , Answer.GlobalWarming , 0.203550040215 , 0.0391850498421
Answer.Religious , Answer.Database , -0.2034179737 , 0.0393152892383
Answer.JumpOnOneFoot , Answer.FlightSeat , -0.203154201142 , 0.039576496338
Answer.CityOrSuburb , Answer.Continent , 0.202899930246 , 0.0398296661252
Answer.Olympics , Answer.Age , 0.202717321986 , 0.040012317553
Answer.LeiaOrSkywalker , Answer.SmartphoneOS , 0.202566334071 , 0.0401638692948
Answer.DrinkForDinner , Answer.GlobalWarming , 0.20248464739 , 0.0402460607336
Answer.GunControl , Answer.Skydiving , 0.202248747922 , 0.0404842070189
Answer.Skydiving , Answer.ApplePerMonth , -0.202144354536 , 0.0405899697092
Answer.Sauna , Answer.LeiaOrSkywalker , 0.202061544897 , 0.0406740295511
Answer.MaritalStatus , Answer.ChildrenWant , -0.201877161356 , 0.0408617190044
Answer.BookOwned , Answer.GlobalWarming , 0.20182071246 , 0.040919324347
Answer.RentOrBuyHouse , Answer.BookOwned , -0.201447987005 , 0.0413013895045
Answer.Sudoku , Answer.GlobalWarming , 0.201139418812 , 0.0416199374314
Answer.DinerWith , Answer.GlobalWarming , -0.201122198405 , 0.0416377749801
Answer.Film , Answer.Age , 0.200931301641 , 0.0418359404923
Answer.GlobalEconomy , Answer.GlobalWarming , 0.200880204574 , 0.0418891163822
Answer.ChildrenHave , Answer.HairDrying , 0.200767412158 , 0.0420066971252
Answer.Kindle , Answer.Education , -0.200364566287 , 0.0424288931487
Answer.Smoke , Answer.ScaryMovie , 0.199585380683 , 0.0432555406078
Answer.ElectricOrGasCar , Answer.HairColor , -0.199490192957 , 0.0433574391168
Answer.Tennis , Answer.SmartphoneOS , 0.199158954096 , 0.043713588884
Answer.MailService , Answer.Rain , 0.199035236462 , 0.0438472334621
Answer.Potato , Answer.RentOrBuyHouse , -0.198980188666 , 0.0439068073759
Answer.ScaryMovie , Answer.FlightSeat , -0.198669108813 , 0.0442447311484
Answer.Gym , Answer.SmartphoneOS , 0.198597713748 , 0.0443225913876
Answer.Religious , Answer.Skydiving , 0.19828956119 , 0.0446599565519
Answer.CarTransmission , Answer.InternetBrowser , 0.198181670351 , 0.0447785785252
Answer.marijuana , Answer.Darwin , 0.197829784437 , 0.0451672845938
Answer.MaritalStatus , Answer.CreditCard , -0.197825119394 , 0.045172456531
Answer.Cook , Answer.StartupOrCorporation , 0.197711883706 , 0.0452981471231
Answer.OnlineShopping , Answer.Snow , 0.197626551253 , 0.0453930571273
Answer.marijuana , Answer.NuclearEnergy , 0.19745073053 , 0.045589132212
Answer.MailService , Answer.LeiaOrSkywalker , 0.196453398598 , 0.0467147039927
Answer.Brexit , Answer.Darwin , -0.19640264535 , 0.0467725937798
Answer.ElectricOrGasCar , Answer.Darwin , 0.19640264535 , 0.0467725937798
Answer.GMO , Answer.HairDrying , 0.196354716854 , 0.0468273161973
Answer.EyeColor , Answer.Astrology , 0.196250642555 , 0.046946325888
Answer.ElectricOrGasCar , Answer.Unicorn , -0.196218252372 , 0.0469834153927
Answer.Unicorn , Answer.Kindle , 0.196218252372 , 0.0469834153927
Answer.Juggle , Answer.Siblings , 0.19615930397 , 0.0470509786199
Answer.marijuana , Answer.HouseHoldIncome , 0.195871468217 , 0.047382036494
Answer.DNA , Answer.HairDrying , 0.195782179557 , 0.0474851242005
Answer.NuclearEnergy , Answer.Snow , 0.195488293281 , 0.0478257415961
Answer.NuclearEnergy , Answer.HairDrying , 0.195286448785 , 0.0480608513034
Answer.HolidayDestination , Answer.Coffee , -0.194980084507 , 0.0484195335516
Answer.ChildrenHave , Answer.ExerciseWeekly , -0.194922144814 , 0.0484876160331
Answer.PhoneBrand , Answer.LikeCountry , -0.194895271929 , 0.0485192200951
Answer.BookRead , Answer.Stonebraker , -0.194641039976 , 0.0488190555425
Answer.CuteAnimal , Answer.Sudoku , 0.194411298375 , 0.0490913240002
Answer.ElectricOrGasCar , Answer.CuteAnimal , 0.194411298375 , 0.0490913240002
